,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
409,FLNA,0.37121546,0.06393262,0.949023879272903,ITGB1,-0.05022553,0.18300028,0.854797803000755,CES1,0.045209225,0.1363729,0.8915265057785755,FLVCR1,0.27668223,0.16797313,0.8666044132609412,FAP,0.7566658,0.39310488,0.6942420145293559,LSR,0.15712701,0.23996745,0.8103554949406304,FAP,1.0172412,0.15364118,0.8778926661036823
410,EYA2,0.61460966,0.062974826,0.949786549782442,CGN,1.0052761,0.18239124,0.8552756934398014,ZNF503,0.022675836,0.13635896,0.8915375161774082,PLCB3,0.27377468,0.16428854,0.8695040067931381,PPAT,0.40966165,0.39141855,0.6954878798287503,PLPP3,0.0080054635,0.23913752,0.8109989509015552,TESMIN,1.5520335,0.15227589,0.8789693445827449
411,TRAF1,1.1802696,0.06193722,0.950612828059285,PMS1,0.25009298,0.18095395,0.8564037250493608,CNKSR1,0.07511515,0.13573219,0.8920330057366055,LEPR,0.26519096,0.16410989,0.8696446380827553,SLC1A5,0.19003607,0.3896806,0.6967727446082033,SYTL1,0.43813425,0.2383076,0.8116425345797054,FAAH2,1.6489937,0.15223038,0.8790052377317356
412,TXLNB,1.1247417,0.06190529,0.950638252852924,CKMT2,0.62261385,0.18039364,0.8568435457975099,FOXN2,-0.09299616,0.13467363,0.8928699281659732,AC084125.4,3.3901646,0.16397591,0.8697501142559646,ITGB1,-0.027909547,0.38871697,0.697485520209774,UTP25,0.29883707,0.23803096,0.811857090781784,SIT1,3.532113,0.15218486,0.879041131129394
413,FBN2,0.8006782,0.061713733,0.9507908026691033,CLEC3A,-0.04751441,0.1762279,0.8601149024321558,VCL,-0.19909655,0.13406077,0.8933545167999474,CYP1B1,0.08004174,0.16239041,0.8709984244267515,ZNF681,0.90197396,0.38780499,0.6981603573760735,UNK,0.31914797,0.23405915,0.8149390548167038,AC026785.2,3.6868145,0.15218486,0.879041131129394
414,PRRG4,0.7068258,0.06158603,0.9508925035488013,AC131159.2,3.2029948,0.17613046,0.8601914543648473,CFAP299,2.802758,0.13396327,0.8934316141218379,MLX,-0.04342632,0.16131853,0.8718425347312188,EXOC6,0.19306293,0.38721994,0.6985933975040818,CTHRC1,0.33738723,0.23226099,0.8163353172607193,AL139412.1,3.5739462,0.15218486,0.879041131129394
415,ZIC1,0.8048182,0.0615541,0.9509179288937698,TRAPPC12,-0.05312618,0.17527781,0.860861339742796,AP000866.1,1.9269581,0.13385186,0.8935197265798678,SLC25A33,0.015014185,0.16107288,0.8720359972691291,MRM2,0.16199848,0.38296968,0.7017422441748388,GAREM1,0.23125602,0.2321029,0.8164580935614679,PCDHB2,1.0344892,0.15218486,0.879041131129394
416,CDKN2B,0.7323183,0.06149025,0.9509687797335789,APOBEC3C,1.107278,0.17454699,0.8614356069154465,FHL5,1.7747538,0.13379614,0.8935637833017686,NOP16,0.08613327,0.16060394,0.8724053560879077,UPP1,0.22749886,0.38274598,0.7019081154659852,LGALS9,0.2681977,0.22745927,0.8200666449130338,TMC8,1.5720745,0.15213935,0.8790770247756476
417,DTL,0.6068743,0.06139447,0.9510450563675853,SPX,0.11899317,0.1737918,0.8620290932882168,SLC9A3R2,-0.10130867,0.13347578,0.8938171158218065,CCDC50,0.025301745,0.15986702,0.8729858332648068,RSPO3,0.72408193,0.3811801,0.7030696117736773,BTBD7,0.27023074,0.22696525,0.8204507590739261,ZNF676,3.5129368,0.15213935,0.8790770247756476
418,AC092574.1,1.378773,0.05930329,0.9527105401393884,SLC43A1,0.7105927,0.17364563,0.8621439706262081,CNTNAP3,0.69508547,0.13291864,0.894257719904124,ECT2L,3.0596616,0.15578045,0.8762060757989427,VPS18,-0.0085618235,0.3806983,0.7034271348834605,CCNB1IP1,0.029700294,0.22668861,0.8206658818226871,IGHG4,0.5346126,0.15106988,0.8799205968492332
419,AL731571.1,1.4058121,0.05930329,0.9527105401393884,TGIF2,0.60999954,0.17330457,0.8624120290831235,SLC30A10,0.32147595,0.13140045,0.8954585312416102,LINC01372,2.882827,0.15573579,0.8762412811303596,S100A14,0.00815185,0.37942493,0.7043723329090306,SLC25A26,0.036294922,0.22566108,0.8214650271676934,ZNF414,0.42964002,0.14870337,0.881787707559849
420,AP002986.1,1.3349674,0.05930329,0.9527105401393884,AC104964.4,0.47057202,0.17206216,0.8633886615127532,MYO7A,0.24119282,0.12989618,0.896648562258175,AC073320.1,2.5433033,0.15569113,0.8762764867066462,CTHRC1,0.47380567,0.3765685,0.7064943016208547,CBX2,1.2541016,0.22516708,0.8218492976759157,DIDO1,0.46998736,0.14774765,0.8825419199016667
421,TMEM51-AS1,0.96501607,0.05923944,0.9527613978924186,LEPR,0.46858352,0.1720378,0.8634078132602065,IGHG4,-0.13956103,0.12964548,0.8968469234417507,ZFP36L2,-0.05362656,0.15549016,0.8764349148283597,SLC6A9,0.32749945,0.376276,0.7067117408333945,HIRIP3,0.03739271,0.22398147,0.8227717211302642,CD93,1.0366012,0.14533563,0.8844458802667956
422,S100A2,0.9961974,0.05920751,0.9527868268410873,LUM,-0.085120015,0.16938244,0.8654958325435803,ITGA1,0.22388613,0.12953405,0.8969350860380964,TMEM191C,0.12394751,0.15470858,0.8770510711982586,CXCR4,0.6795329,0.37347114,0.7087978118154585,ZRANB1,0.07928902,0.22366531,0.8230177421444144,ATR,0.6660208,0.14510809,0.8846255337972164
423,RGS5,1.1027654,0.05920751,0.9527868268410873,AL138960.1,2.5569158,0.16870034,0.8660323566832756,CHIC2,0.025177773,0.12868442,0.8976073676008955,VWA1,-0.04515595,0.15278812,0.8785653711269675,MYO6,0.054168418,0.36868748,0.7123606872382651,WDR66,1.0449497,0.2229737,0.8235559737353982,RSPO3,1.0188093,0.14510809,0.8846255337972164
424,MKI67,1.0287191,0.05920751,0.9527868268410873,AC093458.1,2.3813248,0.16860288,0.8661090080348094,MSN,-0.09405985,0.12655337,0.8992939043619694,PLD1,0.55704105,0.15057735,0.8803091267557202,MANBA,0.42378208,0.36772385,0.7130791520929622,ABCD1,0.71492094,0.22121505,0.8249249931184306,HOXD8,1.8015045,0.14447095,0.8851285952121892
425,SLC22A4,0.89687926,0.059175584,0.9528122558378239,LIMK1,-0.023233641,0.16772589,0.8667989267842476,CYP17A1,22.01813,0.12581517,0.8998782359816474,LCMT2,0.5533331,0.14928216,0.8813309912001388,LETM1,0.042468693,0.3674313,0.7132973079037742,PIP,-0.027293377,0.21973303,0.8260790749054556,DENND4C,1.7446953,0.14442544,0.8851645299447545
426,RTL9,1.8703145,0.05679707,0.9547068494272801,SGSH,0.2547219,0.16726303,0.8671630915189836,SERPIND1,21.952255,0.12581517,0.8998782359816474,CPPED1,0.23747115,0.1492375,0.8813662314390406,TJP1,-0.09225354,0.3673453,0.7133614758409621,RUNX1,0.43328306,0.2177175,0.8276492288904397,GATA2,1.2880316,0.14435717,0.8852184324864392
427,FHL5,1.6007942,0.05679707,0.9547068494272801,RAD54B,0.9453807,0.16723867,0.8671822588656443,TCFL5,-0.15784115,0.12566195,0.8999995191670351,SIX5,0.036929917,0.1479423,0.8823883002629667,ANO4,0.28581575,0.3641103,0.7157756583803421,LTBP3,-0.030084632,0.21526724,0.8295589711067164,BHLHE40-AS1,3.3961759,0.14417514,0.885362175193837
