,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
1241,AL356270.1,-21.851545,-0.10433548,0.916903122638806,AL031777.3,-20.926111,-0.029720493,0.9762899689560675,AL357140.1,-1.0986065,-0.042662665,0.9659704412680546,AC147067.1,-20.943909,-0.03296043,0.9737061433997021,RGS1,0.14763743,-0.016828915,0.9865731017460868,AC100793.2,-20.5802,-0.02881032,0.9770158696186577,RFPL3S,-20.77547,-0.03222096,0.9742958426306993
1242,AC009065.7,-21.735085,-0.10433548,0.916903122638806,HAND2-AS1,-20.679121,-0.029720493,0.9762899689560675,C8orf34-AS1,-1.0233245,-0.042662665,0.9659704412680546,CXCL3,-20.945326,-0.03296043,0.9737061433997021,ZNF736,-0.09732968,-0.017207481,0.9862710946617045,AL359643.3,-20.44517,-0.02881032,0.9770158696186577,IFT74-AS1,-21.369823,-0.03222096,0.9742958426306993
1243,ZCWPW2,-21.83726,-0.10433548,0.916903122638806,SHISA3,-20.738644,-0.029720493,0.9762899689560675,DNM3OS,-1.0206203,-0.042662665,0.9659704412680546,SLX1A,-20.682243,-0.03296043,0.9737061433997021,TNFAIP8L2,-0.34564677,-0.017241895,0.9862436395691175,AC006027.1,-20.306017,-0.02881032,0.9770158696186577,DPEP2,-20.54829,-0.03222096,0.9742958426306993
1244,C10orf82,-22.017414,-0.10433548,0.916903122638806,ZNF816-ZNF321P,-20.874119,-0.029720493,0.9762899689560675,AL512353.1,-1.0554307,-0.042690523,0.9659482350011521,LINC02259,-20.707588,-0.03296043,0.9737061433997021,FAM83G,-0.66120756,-0.017586045,0.9859690895446328,TRG-AS1,-20.850119,-0.02881032,0.9770158696186577,EVA1A,-20.842493,-0.03222096,0.9742958426306993
1245,ST6GALNAC3,-0.094321795,-0.10447915,0.9167891146071868,LILRB5,-20.84754,-0.029720493,0.9762899689560675,REM1,-1.1798892,-0.042690523,0.9659482350011521,AC066613.1,-20.996952,-0.03296043,0.9737061433997021,PDLIM4,-0.23701951,-0.01762046,0.9859416346330379,AF131215.7,-20.241163,-0.02881032,0.9770158696186577,LILRB5,-20.8657,-0.03222096,0.9742958426306993
1246,CRIP1,0.35438085,-0.10534116,0.9161051024360747,TNMD,-20.902998,-0.029720493,0.9762899689560675,CPO,-1.2613488,-0.042690523,0.9659482350011521,ZNF816-ZNF321P,-20.897884,-0.03296043,0.9737061433997021,AC010503.4,-0.19846912,-0.020115545,0.9839511999653731,FAM216B,-20.472525,-0.02881032,0.9770158696186577,HOXA5,-20.944334,-0.03222096,0.9742958426306993
1247,C1QC,0.3603973,-0.105644464,0.9158644462323245,CENPI,-20.6949,-0.029720493,0.9762899689560675,CENPK,-1.1832277,-0.042690523,0.9659482350011521,RFPL3S,-20.781076,-0.03296043,0.9737061433997021,AL356270.1,-0.17296101,-0.020115545,0.9839511999653731,USP27X-AS1,-20.403652,-0.02881032,0.9770158696186577,SHISA3,-20.756804,-0.03222096,0.9742958426306993
1248,PMAIP1,-0.29482967,-0.10738445,0.9144839892656267,RPEL1,-20.708258,-0.029720493,0.9762899689560675,AL357079.1,-1.4873986,-0.042718377,0.9659260287606577,KIF18A,-20.76165,-0.03296043,0.9737061433997021,SH3RF3-AS1,-0.38052887,-0.02014996,0.9839237463640765,LINC01284,-20.522432,-0.02881032,0.9770158696186577,AC010132.4,-20.589863,-0.03222096,0.9742958426306993
1249,ACTL10,-0.121958606,-0.10974701,0.9126100209577951,DPEP2,-20.530134,-0.029720493,0.9762899689560675,TCP11L2,-1.5130249,-0.042718377,0.9659260287606577,SERPINB13,-20.994131,-0.03296043,0.9737061433997021,AKR1E2,-0.43603247,-0.02014996,0.9839237463640765,AC015849.1,-20.570896,-0.02881032,0.9770158696186577,AC131159.2,-20.726076,-0.03222096,0.9742958426306993
1250,LPXN,0.0031857244,-0.11147103,0.9112428365964859,EDN2,-20.817093,-0.029720493,0.9762899689560675,LINC01124,-1.3858669,-0.042718377,0.9659260287606577,EVA1A,-20.848099,-0.03296043,0.9737061433997021,SHISAL2A,-0.47047198,-0.020184373,0.983896292781818,AL109936.2,-20.565693,-0.02881032,0.9770158696186577,AL928970.1,-20.794489,-0.03222096,0.9742958426306993
1251,GJB2,-0.3911995,-0.11246075,0.910458089943717,Z97832.2,-20.774828,-0.029720493,0.9762899689560675,MAB21L1,-1.4101968,-0.042718377,0.9659260287606577,AC007785.3,-20.961248,-0.03296043,0.9737061433997021,AC027307.2,-0.5366912,-0.020184373,0.983896292781818,LINC01338,-20.400225,-0.02881032,0.9770158696186577,PRICKLE3,-20.742311,-0.03222096,0.9742958426306993
1252,RAD54B,-0.5966498,-0.1125246,0.9104074641185038,ARMC12,-20.95171,-0.029720493,0.9762899689560675,LINC01579,-1.6538255,-0.042718377,0.9659260287606577,AL031777.3,-20.949879,-0.03296043,0.9737061433997021,NLRC3,-0.62947994,-0.02021879,0.98386883921863,SLC26A3,-20.458967,-0.02881032,0.9770158696186577,KIF18A,-20.756044,-0.03222096,0.9742958426306993
1253,CYSRT1,-0.6530244,-0.11255653,0.9103821513422891,TDRG1,-20.602493,-0.029720493,0.9762899689560675,CTSV,-1.2142594,-0.042718377,0.9659260287606577,FBXW12,-20.773415,-0.03296043,0.9737061433997021,AL160272.1,-0.47279793,-0.02021879,0.98386883921863,ESRRB,-20.36964,-0.02881032,0.9770158696186577,AC013726.1,-20.689465,-0.03222096,0.9742958426306993
1254,DERL3,-0.113547504,-0.11464771,0.9087243637965386,AC010240.3,-20.844612,-0.029720493,0.9762899689560675,AL121761.2,-1.7145351,-0.042746235,0.9659038225465887,ZNF860,-20.584093,-0.03296043,0.9737061433997021,AC092171.2,-0.6886272,-0.020253204,0.9838413856745449,TBX15,-20.548204,-0.02881032,0.9770158696186577,LINC02359,-20.739445,-0.03222096,0.9742958426306993
1255,LRRC25,-0.7632057,-0.11491908,0.9085092600415559,SLX1A,-20.658482,-0.029720493,0.9762899689560675,AC069148.1,-1.930191,-0.042746235,0.9659038225465887,CD80,-20.799437,-0.03296043,0.9737061433997021,LILRA4,-0.7901451,-0.020253204,0.9838413856745449,SERPIND1,-20.328201,-0.02881032,0.9770158696186577,AC010327.4,-20.696453,-0.03222096,0.9742958426306993
1256,AC010538.1,-1.1496954,-0.11495101,0.9084839541581577,AL445228.2,-20.75321,-0.029720493,0.9762899689560675,NCAPG,-1.9229543,-0.042746235,0.9659038225465887,AL034374.1,-20.865036,-0.03296043,0.9737061433997021,LINC01139,-1.1657408,-0.020322034,0.9837864786438136,LINC01353,-20.446186,-0.02881032,0.9770158696186577,AC004852.2,-20.79756,-0.03222096,0.9742958426306993
1257,AC002070.1,-1.3121214,-0.11495101,0.9084839541581577,DNASE1L3,-20.907703,-0.029720493,0.9762899689560675,AC005759.1,-1.4429363,-0.042746235,0.9659038225465887,LINC02359,-20.745049,-0.03296043,0.9737061433997021,AC009065.7,-1.5045493,-0.020322034,0.9837864786438136,HMCN1,-20.689201,-0.02881032,0.9770158696186577,RBAK-RBAKDN,-20.780277,-0.03222096,0.9742958426306993
1258,TNFAIP8L2,-1.2900769,-0.11498293,0.9084586483676313,RBAK-RBAKDN,-20.762117,-0.029720493,0.9762899689560675,CCDC110,-0.44188768,-0.043414798,0.9653708813812532,PRICKLE3,-20.747915,-0.03296043,0.9737061433997021,RASSF10,-0.70858836,-0.020322034,0.9837864786438136,AL360219.1,-20.54382,-0.02881032,0.9770158696186577,AC087289.2,-20.587835,-0.03222096,0.9742958426306993
1259,SLC7A6OS,0.24663101,-0.11533412,0.908180290808653,PMM2,-20.638395,-0.029720493,0.9762899689560675,AC106869.1,-0.51728857,-0.043554083,0.9652598539109224,LINC00354,-20.95155,-0.03296043,0.9737061433997021,LINC02282,-20.253159,-0.023230098,0.9814667300323713,CCDC192,-20.616425,-0.02881032,0.9770158696186577,IBA57-DT,-20.621807,-0.03222096,0.9742958426306993
1260,URB2,-0.025841273,-0.11721779,0.9066874753347234,AL450311.2,-20.933443,-0.029720493,0.9762899689560675,ABI3BP,-0.8902448,-0.04366551,0.9651710324194985,AL139384.1,-20.960844,-0.03296043,0.9737061433997021,LINC01505,-19.826443,-0.023230098,0.9814667300323713,AL445309.1,-20.482782,-0.02881032,0.9770158696186577,AC122719.2,-20.767065,-0.03222096,0.9742958426306993
1261,HLA-DOB,-22.080523,-0.117377415,0.9065609806240467,LINC01727,-20.823734,-0.029720493,0.9762899689560675,PGR,-0.5263401,-0.044306215,0.9646603172642737,CFAP47,-20.893232,-0.03296043,0.9737061433997021,AL137067.1,-20.283741,-0.023230098,0.9814667300323713,TNFSF14,-20.422207,-0.02881032,0.9770158696186577,SLX1A,-20.67664,-0.03222096,0.9742958426306993
1262,EPSTI1,-0.085885316,-0.117537044,0.9064344882835033,SERPINB13,-20.970364,-0.029720493,0.9762899689560675,GPR37L1,-0.12451001,-0.04437586,0.9646048056172114,ADGRG6,-21.003641,-0.03296043,0.9737061433997021,DCD,-20.367691,-0.023230098,0.9814667300323713,MMP2-AS1,-20.742346,-0.02881032,0.9770158696186577,AC073320.1,-20.764898,-0.03222096,0.9742958426306993
1263,BACE2,0.3195094,-0.12005923,0.9044362263697706,HOXA5,-20.926174,-0.029720493,0.9762899689560675,CLEC7A,-0.4880619,-0.04450121,0.9645048850849961,AC022182.2,-20.92691,-0.03296043,0.9737061433997021,AC068790.9,-19.972795,-0.023230098,0.9814667300323713,ANXA8,-20.46329,-0.02881032,0.9770158696186577,TNMD,-20.92116,-0.03222096,0.9742958426306993
1264,CEP78,0.3731505,-0.12034657,0.9042086144319817,SIRPB1,-20.877571,-0.029720493,0.9762899689560675,PTGS1,-0.73515373,-0.04645119,0.9629506384480921,AL445228.2,-20.776974,-0.03296043,0.9737061433997021,MYOZ2,-20.0483,-0.023230098,0.9814667300323713,AC044784.1,-20.587729,-0.02881032,0.9770158696186577,EFCAB13,-20.903982,-0.03222096,0.9742958426306993
1265,AC018816.1,-0.111107804,-0.12251756,0.9024891354876656,LINC01936,-20.733402,-0.029720493,0.9762899689560675,ABHD17B,-0.08417528,-0.04685511,0.9626287047646594,FAM30A,-21.07195,-0.03296043,0.9737061433997021,LINC02251,-20.213278,-0.023230098,0.9814667300323713,RFPL3,-20.301723,-0.02881032,0.9770158696186577,FAM225B,-20.831047,-0.03222096,0.9742958426306993
1266,ZSCAN30,0.04981877,-0.12408196,0.901250382213926,IBA57-DT,-20.603651,-0.029720493,0.9762899689560675,DNPEP,-0.1371067,-0.047091894,0.962439987848528,BDKRB1,-21.040308,-0.03296043,0.9737061433997021,LINC00635,-20.124517,-0.023230098,0.9814667300323713,DKKL1,-20.577457,-0.02881032,0.9770158696186577,ECT2L,-20.94948,-0.03222096,0.9742958426306993
1267,ERCC6,0.14163175,-0.12507167,0.9004668051473544,CD80,-20.775673,-0.029720493,0.9762899689560675,SPON1,-0.32368574,-0.048554376,0.9612744304067162,EDN2,-20.840858,-0.03296043,0.9737061433997021,PCA3,-20.04268,-0.023230098,0.9814667300323713,SIGLEC11,-20.476183,-0.02881032,0.9770158696186577,STX11,-20.771591,-0.03222096,0.9742958426306993
1268,AL355297.3,-0.65783966,-0.12547076,0.900150874049446,PCDHGA2,-20.933483,-0.029720493,0.9762899689560675,LYL1,-0.46060094,-0.04990543,0.9601977508299946,HAND2-AS1,-20.702885,-0.03296043,0.9737061433997021,TRPA1,-20.215767,-0.023230098,0.9814667300323713,AL136982.7,-20.358505,-0.02881032,0.9770158696186577,LINC01727,-20.841894,-0.03222096,0.9742958426306993
1269,HES5,0.27568683,-0.1263168,0.8994811525002173,RUNX1,-0.31707934,-0.030085908,0.9759985395928263,OLFML3,-0.34644714,-0.05068542,0.9595761955470408,Z97832.2,-20.798592,-0.03296043,0.9737061433997021,AC084149.1,-19.816715,-0.023230098,0.9814667300323713,AC005332.1,-20.489506,-0.02881032,0.9770158696186577,EDN2,-20.835253,-0.03222096,0.9742958426306993
1270,SNX22,0.25823715,-0.12666799,0.899203175868879,CTF1,0.013989811,-0.030524407,0.9756488285895307,CD207,-20.842339,-0.05076899,0.9595096017888995,PTGS1,-0.48075148,-0.034009982,0.9728691906854183,AC020659.2,-20.061865,-0.023230098,0.9814667300323713,CD207,-20.52928,-0.02881032,0.9770158696186577,LINC01936,-20.751562,-0.03222096,0.9742958426306993
1271,FAP,0.10677572,-0.12705112,0.8988999427385456,ABCC11,-0.5292101,-0.030768018,0.9754545467170885,LINC01759,-20.771887,-0.05076899,0.9595096017888995,RBM7,0.10836223,-0.03467991,0.9723349811109192,AC127537.1,-20.216726,-0.023230098,0.9814667300323713,VIL1,-20.524649,-0.02881032,0.9770158696186577,AL450311.2,-20.951603,-0.03222096,0.9742958426306993
1272,PSMB8-AS1,0.071913,-0.12730652,0.8986977955154205,HMGCS2,-0.6113934,-0.030865462,0.9753768343752076,AC093627.5,-20.820053,-0.05076899,0.9595096017888995,TMEM238,-0.34274417,-0.035238184,0.971889815936087,LEKR1,-20.093464,-0.023230098,0.9814667300323713,BX088651.4,-20.431763,-0.02881032,0.9770158696186577,CETP,0.32817918,-0.032380242,0.974168818350328
1273,MICALL1,0.034093615,-0.12749809,0.8985461894107765,HOXD8,-0.8325287,-0.030962907,0.9752991222670587,SCML2,-20.8354,-0.05076899,0.9595096017888995,VSIR,-0.19631863,-0.036019765,0.9712665994348514,CXCR6,-20.407114,-0.023230098,0.9814667300323713,TPH2,-20.384817,-0.02881032,0.9770158696186577,MIR200CHG,-0.020694118,-0.032425754,0.9741325258189857
1274,LDLRAP1,0.03974712,-0.12802488,0.8981292917314123,PCAT18,-0.7142662,-0.031011628,0.9752602663008643,AL136982.7,-20.671535,-0.05076899,0.9595096017888995,PRRG4,0.20921321,-0.03713631,0.9703763206764322,CCR2,-19.978617,-0.023230098,0.9814667300323713,NOD2,-20.131512,-0.02881032,0.9770158696186577,C9orf152,-0.056902736,-0.032471262,0.9740962333412
1275,TENT5C,-1.4858184,-0.12804084,0.8981166589067258,NRARP,-0.86086375,-0.031157793,0.9751436987549059,LINC00639,-20.865086,-0.05076899,0.9595096017888995,AC005014.2,-0.56245375,-0.03740428,0.9701626592254494,FAM225A,-19.927124,-0.023230098,0.9814667300323713,CYP17A1,-20.393984,-0.02881032,0.9770158696186577,ROPN1B,-0.36184397,-0.03260779,0.9739873562299325
1276,LAT2,-0.06906114,-0.13024375,0.8963735781331065,CYTH4,-0.06633683,-0.0312796,0.9750465595386967,LBX2,-20.76335,-0.05076899,0.9595096017888995,AC010931.2,-0.7553328,-0.03758293,0.970020219446945,HIST1H2AI,-20.061617,-0.023230098,0.9814667300323713,GLT6D1,-20.414183,-0.02881032,0.9770158696186577,TRAF1,-0.5524926,-0.032744322,0.9738784796033767
1277,AC015961.1,-22.198917,-0.13041934,0.8962346583202639,FZR1,-0.12912816,-0.031693738,0.9747162889805615,AC015849.1,-20.883963,-0.05076899,0.9595096017888995,TRAF1,-0.93956816,-0.037716914,0.9699133902404232,ZNF852,-19.868614,-0.023230098,0.9814667300323713,LCN6,-20.481152,-0.02881032,0.9770158696186577,NR0B1,-0.55557495,-0.032744322,0.9738784796033767
1278,MELK,-22.257627,-0.13041934,0.8962346583202639,MYBPC1,-0.18664207,-0.034422178,0.9725404998266256,APELA,-21.022108,-0.05076899,0.9595096017888995,ROPN1B,-0.9693207,-0.037716914,0.9699133902404232,GOLGA6L1,-20.068676,-0.023230098,0.9814667300323713,FAM166A,-20.36743,-0.02881032,0.9770158696186577,AC008966.2,-1.0309894,-0.033017382,0.9736607278125093
1279,SCNN1B,-22.371262,-0.13041934,0.8962346583202639,ZSCAN30,-0.537466,-0.03495812,0.9721131361732028,AC015819.2,-21.186653,-0.05076899,0.9595096017888995,CDKN2B,-1.0176232,-0.037716914,0.9699133902404232,LINC02246,-20.118908,-0.023230098,0.9814667300323713,AC092910.3,-20.266376,-0.02881032,0.9770158696186577,LGALS9,0.19397837,-0.035861745,0.9713925997516419
1280,LINC01485,-22.166544,-0.13041934,0.8962346583202639,A2M,-0.091056444,-0.03605437,0.9712390083174355,CCDC192,-20.9295,-0.05076899,0.9595096017888995,CETP,-1.0161307,-0.037761576,0.9698777806247908,UTS2,-19.980053,-0.023230098,0.9814667300323713,IL19,-20.689337,-0.02881032,0.9770158696186577,EME2,0.2915824,-0.036043786,0.9712474472379398
1281,AC048341.1,-22.26215,-0.13041934,0.8962346583202639,ZNF676,-20.969658,-0.037150614,0.9703649150104618,AC009120.5,-20.642954,-0.05076899,0.9595096017888995,TMEM273,-0.22502093,-0.038252857,0.9694860788321074,AL358075.2,-20.195822,-0.023230098,0.9814667300323713,AC066612.1,-20.429094,-0.02881032,0.9770158696186577,PYGL,0.38896292,-0.039092943,0.9688162879622377
1282,SUGCT,-22.172695,-0.13041934,0.8962346583202639,ASMT,-20.977306,-0.037150614,0.9703649150104618,CLEC18B,-20.914442,-0.05076899,0.9595096017888995,C9orf116,-0.26054734,-0.03865481,0.9691656010181501,LINC02256,-20.056099,-0.023230098,0.9814667300323713,SELP,-20.585442,-0.02881032,0.9770158696186577,PLAGL1,0.026774812,-0.040139668,0.9679817765707409
1283,AC027020.2,-22.005665,-0.13041934,0.8962346583202639,CD72,-21.011972,-0.037150614,0.9703649150104618,BCO1,-20.842852,-0.05076899,0.9595096017888995,TSKU,-0.10941315,-0.03887812,0.9689875599364576,MAP1LC3C,-20.093767,-0.023230098,0.9814667300323713,FCRL5,-20.458319,-0.02881032,0.9770158696186577,AQP5,0.3397421,-0.040230688,0.9679092120066238
1284,HMMR,-22.32629,-0.13041934,0.8962346583202639,SIT1,-21.188253,-0.037150614,0.9703649150104618,CNGA3,-20.836212,-0.05076899,0.9595096017888995,ARID2,0.09013642,-0.038922783,0.9689519519053215,NKX2-8,-19.981647,-0.023230098,0.9814667300323713,SULT1C2,-20.349827,-0.02881032,0.9770158696186577,AC008040.5,-21.18678,-0.0402762,0.9678729298241711
1285,TRIM59,-0.32411513,-0.1334364,0.8938482638249599,WDR49,-21.223143,-0.037150614,0.9703649150104618,AC084125.4,-20.582754,-0.05076899,0.9595096017888995,EIF4EBP3,-0.53065884,-0.03981602,0.9682398043758391,TLR9,-20.151451,-0.023230098,0.9814667300323713,LINC01356,-20.718483,-0.02881032,0.9770158696186577,LINC01277,-21.171926,-0.0402762,0.9678729298241711
1286,DENND2D,-0.05953288,-0.13536794,0.8923209692655003,AC008040.5,-21.168617,-0.037150614,0.9703649150104618,TPH2,-20.697851,-0.05076899,0.9595096017888995,CLDN5,-0.07521617,-0.03999467,0.9680973778910491,LINC00578,-20.140476,-0.023230098,0.9814667300323713,AL023581.2,-20.41307,-0.02881032,0.9770158696186577,AL158058.1,-21.339499,-0.0402762,0.9678729298241711
1287,NBPF15,-0.5672097,-0.13570318,0.8920559421202723,PLXNB3,-20.996758,-0.037150614,0.9703649150104618,AC125611.3,-20.88452,-0.05076899,0.9595096017888995,AL359198.1,-21.167498,-0.041200537,0.9671360259634769,AP001107.4,-20.056652,-0.023230098,0.9814667300323713,AL358852.1,-20.3768,-0.02881032,0.9770158696186577,SYPL2,-21.257153,-0.0402762,0.9678729298241711
1288,OSGIN1,-0.3954341,-0.13592665,0.8918792640528603,LINC00443,-20.913834,-0.037150614,0.9703649150104618,AC092809.4,-20.77712,-0.05076899,0.9595096017888995,GHRLOS,-21.135479,-0.041200537,0.9671360259634769,BX649601.1,-20.189945,-0.023230098,0.9814667300323713,AC125611.3,-20.571451,-0.02881032,0.9770158696186577,HKDC1,-21.255266,-0.0402762,0.9678729298241711
1289,FAM129A,0.18024436,-0.1374272,0.8906931364494037,FHAD1,-21.26464,-0.037150614,0.9703649150104618,SIX3,-20.870375,-0.05076899,0.9595096017888995,AC092490.1,-21.176918,-0.041200537,0.9671360259634769,TRPM8,-19.934978,-0.023230098,0.9814667300323713,AP000844.2,-20.614164,-0.02881032,0.9770158696186577,AL731537.1,-21.04792,-0.0402762,0.9678729298241711
1290,HAT1,0.26892817,-0.13790609,0.8903146364444916,AL158058.1,-21.321331,-0.037150614,0.9703649150104618,SH2D1A,-20.92423,-0.05076899,0.9595096017888995,AC000068.1,-21.140236,-0.041200537,0.9671360259634769,AL592211.1,-19.948496,-0.023230098,0.9814667300323713,AC026471.1,-20.598658,-0.02881032,0.9770158696186577,ACADL,-21.141657,-0.0402762,0.9678729298241711
1291,HTR1D,-0.4708368,-0.13841692,0.8899109306595125,PTGER1,-21.070177,-0.037150614,0.9703649150104618,SAA4,-20.709791,-0.05076899,0.9595096017888995,FHAD1,-21.288414,-0.041200537,0.9671360259634769,AC136604.2,-20.255089,-0.023230098,0.9814667300323713,LINC01933,-20.596052,-0.02881032,0.9770158696186577,FAM169B,-20.940128,-0.0402762,0.9678729298241711
1292,NUSAP1,-0.75431263,-0.13857655,0.8897847784505186,UPK3A,-21.0557,-0.037150614,0.9703649150104618,AC098820.3,-20.65302,-0.05076899,0.9595096017888995,AC026785.2,-21.0954,-0.041200537,0.9671360259634769,AP002008.1,-19.93259,-0.023230098,0.9814667300323713,AC026202.2,-20.400267,-0.02881032,0.9770158696186577,AC116667.1,-21.058939,-0.0402762,0.9678729298241711
1293,B4GALT1,0.24042846,-0.13862443,0.8897469333318466,AL139412.1,-21.081617,-0.037150614,0.9703649150104618,TNFSF14,-20.735249,-0.05076899,0.9595096017888995,SYPL2,-21.26276,-0.041200537,0.9671360259634769,LINC02022,-20.220093,-0.023230098,0.9814667300323713,SLC2A9,-20.722532,-0.02881032,0.9770158696186577,PTGER1,-21.08834,-0.0402762,0.9678729298241711
1294,LYPD3,-0.16247058,-0.14069965,0.8881072206733356,GP6,-21.055708,-0.037150614,0.9703649150104618,KCNJ2-AS1,-20.709145,-0.05076899,0.9595096017888995,AL139412.1,-21.105387,-0.041200537,0.9671360259634769,AC147651.4,-20.375957,-0.023230098,0.9814667300323713,SAA4,-20.396755,-0.02881032,0.9770158696186577,PLXNB3,-21.01492,-0.0402762,0.9678729298241711
1295,AC005014.2,-1.2287972,-0.14100295,0.8878676102911324,AC000068.1,-21.116467,-0.037150614,0.9703649150104618,GDF5,-20.896324,-0.05076899,0.9595096017888995,LY9,-21.152073,-0.041200537,0.9671360259634769,TSPAN16,-20.430792,-0.023230098,0.9814667300323713,ACVR2B-AS1,-20.258354,-0.02881032,0.9770158696186577,AC000068.1,-21.13463,-0.0402762,0.9678729298241711
1296,AC008966.2,-1.2331642,-0.14100295,0.8878676102911324,NLRP12,-21.363012,-0.037150614,0.9703649150104618,HMCN1,-21.00229,-0.05076899,0.9595096017888995,WDR49,-21.246916,-0.041200537,0.9671360259634769,SYCE2,-19.841782,-0.023230098,0.9814667300323713,CCRL2,-20.438911,-0.02881032,0.9770158696186577,AC027088.2,-21.07877,-0.0402762,0.9678729298241711
1297,AC092384.1,-22.274519,-0.14346129,0.8859258850938949,DLGAP5,-21.162508,-0.037150614,0.9703649150104618,AC026471.1,-20.911732,-0.05076899,0.9595096017888995,AC008040.5,-21.192389,-0.041200537,0.9671360259634769,LEFTY2,-20.241852,-0.023230098,0.9814667300323713,HESX1,-20.644932,-0.02881032,0.9770158696186577,UPK3A,-21.073862,-0.0402762,0.9678729298241711
1298,KCNQ1,-22.432308,-0.14346129,0.8859258850938949,AC091132.5,-21.122465,-0.037150614,0.9703649150104618,SLC2A9,-21.035631,-0.05076899,0.9595096017888995,LINC00443,-20.9376,-0.041200537,0.9671360259634769,SH2D1B,-20.064718,-0.023230098,0.9814667300323713,KRT1,-20.623234,-0.02881032,0.9770158696186577,AC009119.2,-21.014912,-0.0402762,0.9678729298241711
1299,MALRD1,-22.308237,-0.14346129,0.8859258850938949,LINC01277,-21.15376,-0.037150614,0.9703649150104618,TBX15,-20.861267,-0.05076899,0.9595096017888995,SHBG,-20.974195,-0.041200537,0.9671360259634769,AC019077.1,-20.32574,-0.023230098,0.9814667300323713,AC084125.4,-20.269737,-0.02881032,0.9770158696186577,AL031600.3,-21.063078,-0.0402762,0.9678729298241711
1300,AREG,-22.364742,-0.14346129,0.8859258850938949,IGLC7,-21.102438,-0.037150614,0.9703649150104618,AL359643.3,-20.758213,-0.05076899,0.9595096017888995,AC137630.1,-21.113792,-0.041200537,0.9671360259634769,ESPNL,-20.23367,-0.023230098,0.9814667300323713,AC008686.1,-20.280548,-0.02881032,0.9770158696186577,SPAG17,-20.99919,-0.0402762,0.9678729298241711
1301,TJP1,0.27184746,-0.14347725,0.8859132787136978,HOMER3-AS1,-21.314114,-0.037150614,0.9703649150104618,LINC01353,-20.75923,-0.05076899,0.9595096017888995,AC116667.1,-21.064545,-0.041200537,0.9671360259634769,MIR3142HG,-20.085077,-0.023230098,0.9814667300323713,CYP4F12,-20.844917,-0.02881032,0.9770158696186577,AC004846.1,-21.013887,-0.0402762,0.9678729298241711
1302,SLC43A1,-0.106542304,-0.14580788,0.8840730586732504,LINC02019,-21.059278,-0.037150614,0.9703649150104618,AC022809.1,-20.911861,-0.05076899,0.9595096017888995,AC009119.2,-21.020517,-0.041200537,0.9671360259634769,AC007262.2,-20.273085,-0.023230098,0.9814667300323713,CLEC18B,-20.601368,-0.02881032,0.9770158696186577,AC092490.1,-21.17131,-0.0402762,0.9678729298241711
1303,TGIF2,-0.23469451,-0.14603136,0.8838966319144377,SH2D2A,-21.137169,-0.037150614,0.9703649150104618,AC100793.2,-20.89327,-0.05076899,0.9595096017888995,AC062029.1,-21.132673,-0.041200537,0.9671360259634769,SLC39A2,-19.902481,-0.023230098,0.9814667300323713,APELA,-20.709015,-0.02881032,0.9770158696186577,AIM2,-21.063885,-0.0402762,0.9678729298241711
1304,PYGL,0.051685013,-0.14700511,0.8831279826331132,C5orf46,-21.151499,-0.037150614,0.9703649150104618,RPL17-C18orf32,-20.878157,-0.05076899,0.9595096017888995,PLXNB3,-21.020525,-0.041200537,0.9671360259634769,AL132780.2,-19.96063,-0.023230098,0.9814667300323713,AC009108.3,-20.545605,-0.02881032,0.9770158696186577,AC062029.1,-21.127068,-0.0402762,0.9678729298241711
1305,MYO1E,0.07155702,-0.14706896,0.8830775832376119,AC137630.1,-21.090023,-0.037150614,0.9703649150104618,AL157395.1,-20.934845,-0.05076899,0.9595096017888995,AL138960.1,-20.990469,-0.041200537,0.9671360259634769,MYOZ1,-20.019936,-0.023230098,0.9814667300323713,SCML2,-20.52234,-0.02881032,0.9770158696186577,VWA3B,-21.159794,-0.0402762,0.9678729298241711
1306,PTGS1,-0.22703521,-0.1486653,0.8818177526908709,VGLL3,-21.2359,-0.037150614,0.9703649150104618,IGLV1-51,-20.750542,-0.05076899,0.9595096017888995,LINC02019,-21.083048,-0.041200537,0.9671360259634769,LINC01740,-20.176062,-0.023230098,0.9814667300323713,FAM239A,-20.562502,-0.02881032,0.9770158696186577,AC132872.2,-21.077394,-0.0402762,0.9678729298241711
1307,LPIN3,-0.53552526,-0.14882492,0.8816917860263322,CCL3L1,-21.047935,-0.037150614,0.9703649150104618,DKKL1,-20.890526,-0.05076899,0.9595096017888995,AC093458.1,-20.85974,-0.041200537,0.9671360259634769,SMIM17,-20.096119,-0.023230098,0.9814667300323713,TGM1,-20.600737,-0.02881032,0.9770158696186577,GHRLOS,-21.129871,-0.0402762,0.9678729298241711
1308,POC1A,-0.49801412,-0.15136307,0.8796893202224667,HMCN2,-21.074547,-0.037150614,0.9703649150104618,CYP4F12,-21.158041,-0.05076899,0.9595096017888995,ARMCX3-AS1,-21.065405,-0.041200537,0.9671360259634769,AC020915.1,-19.905996,-0.023230098,0.9814667300323713,IL17B,-20.426687,-0.02881032,0.9770158696186577,AC093458.1,-20.854134,-0.0402762,0.9678729298241711
